public_id,caption_gt,category,caption_pred
216582038,View of snowy mountain range,outdoors,a person skiing down a snowy mountain
1590061574,A young woman lying on a bed,misc,a woman in a white shirt is laying on a couch
1868714447,A horizontal view of a scientist in lab suit examining a silicon wafer under the microscope in a clean room laboratory with selective focus,office,a person in a lab coat looking through a microscope
1813180760,A vertical shot of sunset on a beach,outdoors,a sunset on the beach with clouds reflected in the water
1578946151,A woman relaxing in a deck chair,outdoors,a woman sits in a chair near the pool
1878688574,Surfer With prosthetic Leg standing on the Beach holding the surfboard,misc,a man in a wetsuit holding a surfboard on the beach
1576771976,Young businesswoman in an office using a mobile phone,office,a woman in a black shirt and black vest holding a cell phone
1571337356,Raftsund Vesteralen Lofoten Nordland Norway,outdoors,the view from a boat of the mountains and water
1661486624,Slowly rotating LED light bulb created in 3D 3D illustration Background used for presentation on energy climate change and new technologies,misc,a light bulb with a spiral shape on it
1590076853,Portrait of a young black woman with long straight hair,misc,a woman with long black hair looking off to the side
1587992681,Two young lovers sitting beneath a tree,misc,a couple sitting on the ground under a tree
1587145121,Low angle view of a colorful hot air balloon against blue sky Balloon Festival Albuquerque New Mexico USA,outdoors,a colorful hot air balloon with a moon in the background
1840552898,Smiling couple listening to a call at a cafe table,electronics,a man and woman sitting at a table with a tablet computer
1873296680,High angle shot of a businessman leaning against a stack of containers at a potato food processing plant,office,a man in a suit standing in a warehouse with crates
1840560677,Vertical shot of a happy woman touching a flower and sitting in a meadow full of wildflowers,outdoors,a woman in a field of wildflowers
1297780919,Female teacher in adult education computer lesson smiling at camera,misc,a woman is sitting in front of a computer
1588014650,A businessman holding a mobile phone and briefcase,electronics,a man in a suit talking on his cell phone
1571668358,Woman trying on sun tops in the changing room of a shop,misc,a woman is looking at a shirt in a closet
1869046529,Horizontal three quarter length shot of a woman having strawberries in breakfast smiles at the camera,food,a woman eating breakfast on a patio
1590352094,Marina and Cathedral of Palma de Mallorca at night Mallorca Spain,outdoors,the city of palma de Mallorca at night
1586704871,White Clouds Against Blue Summer Sky,outdoors,a blue sky with clouds and a white cloud
1868716469,A high angle vertical shot of a senior farmer watching potatoes filling into a trailer in a sunny rural field,outdoors,a man is loading a truck with a large machine
1663817603,Three teenage friends looking at digital tablet,indoors,three young women sitting on a bed looking at a tablet
1588003499,Religious structure in garden Carinthia Austria,outdoors,a white and yellow church with a roof and flowers
1578225275,A mid adult woman holding a dried leaf,indoors,a woman in a red vest holding a leaf
1857301826,Side view of a businessman talking on a mobile phone in a car on a runway at the airport,electronics,a man in a suit and tie sitting in the driver's seat of a car
1570308335,Ancient stone cave dwellings at Syracuse Sicily Italy,outdoors,the cave of the person
1572661505,A woman drinking a glass of wine with a meal,outdoors,a woman holding a glass of wine at a restaurant
1277234585,Active young woman exercising on cycling machine in gym,indoors,a woman is on a stationary bike in a gym
1587149063,Detail view of a drink with a glass stirrer,misc,a glass of red liquid with a straw
1297797338,cutout of smiling businessman wearing telephone headset at camera,electronics,a man wearing a headset and smiling
