public_id,caption_gt,category,caption_pred
216582038,View of snowy mountain range,outdoors, the view from the top of the mountain
1590061574,A young woman lying on a bed,misc, a woman lying on a bed with pillows.
1868714447,A horizontal view of a scientist in lab suit examining a silicon wafer under the microscope in a clean room laboratory with selective focus,office, scientist in a clean room
1813180760,A vertical shot of sunset on a beach,outdoors, sunset on the beach with reflections in the wet sand.
1578946151,A woman relaxing in a deck chair,outdoors, a woman sitting in a beach chair looking out at the ocean.
1878688574,Surfer With prosthetic Leg standing on the Beach holding the surfboard,misc, person walking on the beach with a surfboard
1576771976,Young businesswoman in an office using a mobile phone,office, a woman looking at her smartphone.
1571337356,Raftsund Vesteralen Lofoten Nordland Norway,outdoors," a photo of lake wakatipu in queenstown, new zealand."
1661486624,Slowly rotating LED light bulb created in 3D 3D illustration Background used for presentation on energy climate change and new technologies,misc, digital animation of an electric bulb
1590076853,Portrait of a young black woman with long straight hair,misc, a close up of a woman's face
1587992681,Two young lovers sitting beneath a tree,misc, couple sitting under a tree
1587145121,Low angle view of a colorful hot air balloon against blue sky Balloon Festival Albuquerque New Mexico USA,outdoors, full moon rising over a hot air balloon
1840552898,Smiling couple listening to a call at a cafe table,electronics, a man and a woman sitting at a table in front of a laptop.
1873296680,High angle shot of a businessman leaning against a stack of containers at a potato food processing plant,office, organization leader in the factory.
1840560677,Vertical shot of a happy woman touching a flower and sitting in a meadow full of wildflowers,outdoors, woman picking flowers in a meadow
1297780919,Female teacher in adult education computer lesson smiling at camera,misc, senior woman standing in an office
1588014650,A businessman holding a mobile phone and briefcase,electronics, a man in a suit talking on a cell phone.
1571668358,Woman trying on sun tops in the changing room of a shop,misc, a woman in a tank top and jeans looks at her reflection in a mirror.
1869046529,Horizontal three quarter length shot of a woman having strawberries in breakfast smiles at the camera,food, a woman in a white robe sits on a patio chair with a cup of coffee and a
1590352094,Marina and Cathedral of Palma de Mallorca at night Mallorca Spain,outdoors, a view of the city of lisbon at night.
1586704871,White Clouds Against Blue Summer Sky,outdoors, white clouds in a blue sky
1868716469,A high angle vertical shot of a senior farmer watching potatoes filling into a trailer in a sunny rural field,outdoors, person talks about the future of his family farm.
1663817603,Three teenage friends looking at digital tablet,indoors, women sitting on a couch looking at a tablet
1588003499,Religious structure in garden Carinthia Austria,outdoors, a city in the background.
1578225275,A mid adult woman holding a dried leaf,indoors, a woman in a red vest holding a large brown leaf
1857301826,Side view of a businessman talking on a mobile phone in a car on a runway at the airport,electronics, person talks on his cell phone while sitting in the driver's seat of a car.
1570308335,Ancient stone cave dwellings at Syracuse Sicily Italy,outdoors," the limestone cliffs of the blue mountains national park, new south wales, australia"
1572661505,A woman drinking a glass of wine with a meal,outdoors, woman sitting at a table with a bowl of food and a glass of beer
1277234585,Active young woman exercising on cycling machine in gym,indoors, the benefits of epoxy flooring
1587149063,Detail view of a drink with a glass stirrer,misc, a glass of red wine
